time,valueA,valueB,valueC
280,20,45,33.33333333
281,35,65,50
282,22,55,14
283,3,36.66666666,13
284,5,50,11.5
285,2,50,16
286,7,50,11
287,23,55,22.5
288,9,63.33333333,40
289,25,45,20
290,20,47.5,17
291,85,65,37.5
292,7,36.66666666,17.5
293,9,50,25
294,23,45,18.33333333
295,7,30,15
296,17,52.5,27.5
297,3,30,20
298,10,40,15.5
299,3,30,15
300,12,45,20
301,14,30,12.33333333
302,44,56.66666666,30.5
303,17,50,30
304,12,60,35
305,20,50,20
306,2,30,12.5
307,29,50,22.5
308,31,63.33333333,21
309,131,62.5,30
310,20,52.5,13.5
311,42,60,22.5
312,6,48,12
313,1,30,11.5
314,2,50,11
315,11,50,16.66666666
316,64,52,32.5
317,2,53.33333333,20.5
318,68,70,32.5
319,40,57.5,35
320,1,46.66666666,11
321,9,60,35
322,0,30,10
323,1,36.66666666,11
324,6,30,10
325,16,56.66666666,22.5
326,1,30,11
327,7,50,19
328,8,40,8.5
329,69,52.5,38
330,52,40,20.5
331,24,60,40.66666666
332,72,45,25.75
333,21,50,14.33333333
334,6,46.66666666,16.66666666
335,10,60,14
336,50,37.5,14.5
337,2,30,8.5
338,1,43.33333333,8.5
339,6,50,60
340,12,53.33333333,24
341,1,30,7
342,126,70,36.5
343,17,46.66666666,10.5
344,15,36.66666666,8.75
345,18,46.66666666,18
346,5,46.66666666,11
347,6,45,9
348,40,45,12.13166666
349,30,50,43
350,53,52.5,23
351,68,47.5,20.75
352,20,40,12
353,6,50,10
354,26,47.5,13.66666666
355,18,46.66666666,15
356,16,40,11.5
357,5,45,10.33333333
358,60,47.5,20.5
359,97,30,14
360,5,50,10
361,20,60,20.5
362,7,40,13
363,4,36.66666666,12.5
364,6,36.66666666,19
365,18,43.33333333,12.33333333
366,4,30,11
367,27,50,18
368,123,53.33333333,29.5
369,38,52.5,21
370,17,42.5,16.33333333
371,24,46.66666666,12.33333333
372,31,45,14.66666666
373,31,36.66666666,11.33333333
374,15,46.66666666,16.33333333
375,27,45,12.33333333
376,12,40,11
377,5,50,16.5
378,31,45,15.5
379,58,40,16.5
380,16,45,12.33333333
381,3,56,26
382,46,53.33333333,29.5
383,37,46.66666666,10.66666666
384,174,50,33.5
385,6,30,7
386,61,35,14
387,40,50,36.5
388,60,35,15.5
389,9,53.33333333,9.5
390,41,50,37.5
391,53,33.33333333,12
392,15,50,30
393,83,60,22.33333333
394,85,47.5,32.5
395,6,30,20.5
396,68,45,11.5
397,40,52.5,12
398,7,30,21.5
399,39,45,11.66666666
400,6,43.33333333,12
401,7,60,60
402,120,62.5,50.5
403,44,43.33333333,13
404,63,47.5,32.5
405,5,50,7
406,78,60,23.33333333
407,4,30,15
408,48,55,33
409,12,30,15
410,89,55,35
411,27,43.33333333,11.5
412,47,33.33333333,12
413,12,30,15
414,21,50,21
415,39,42.5,15
416,55,50,32.5
417,15,36.66666666,9
418,69,52.5,45.25
419,23,50,50
420,63,50,31.5
421,81,55,33
422,11,36.66666666,30.5
423,25,32.5,15
424,39,57.5,33
425,1,50,11
426,15,30,10
427,27,33.33333333,10
428,10,50,32
429,14,50,13.5
430,19,56.66666666,20.33333333
431,39,37.5,17.5
432,26,50,23.5
433,5,30,10.66666666
434,7,50,17.5
435,13,33.33333333,15.5
436,1,43.33333333,14
437,30,35,15
438,4,60,12
439,5,47.5,12
440,44,60,14.5
441,33,32.5,14
442,27,50,15.5
443,14,47.5,16
444,81,65,41.5
445,21,47.5,14
446,4,36.66666666,13.5
447,27,40,14.66666666
448,8,46.66666666,19.5
449,30,53.33333333,26
450,32,52.5,17.66666666
451,5,30,15
452,4,30,9.5
453,41,50,23.5
454,39,40,22.5
455,13,36.66666666,26
456,16,30,23
457,7,30,21.5
458,70,45,24
459,11,50,22.5
460,25,47.5,20.33333333
461,3,42.5,10.33333333
462,9,53.33333333,3
463,3,46.66666666,11.5
464,10,60,14.5
465,8,30,14
466,15,50,18
467,23,45,17
468,1,30,11
469,3,32.5,12.66666666
470,35,50,19.33333333
471,2,37.5,9
472,3,43.33333333,12
473,1,50,10.5
474,7,36.66666666,13
475,32,60,12
476,1,60,8.5
477,9,60,51
478,5,53.33333333,4
479,10,46.66666666,12.5
480,38,65,51
481,55,60,21.5
482,17,60,19.66666666
483,29,53.33333333,21.33333333
484,69,65,29.33333333
485,18,37.5,17.66666666
486,0,33.33333333,21
487,19,37.5,18.33333333
488,4,30,19
489,2,33.33333333,21
490,17,50,16.5
491,7,40,19.5
492,4,40,13.5
493,21,55,20
494,22,50,18.433
495,7,30,12
496,56,50,20
497,32,52.5,20
498,11,50,8.5
499,14,30,12
500,2,48,10.66666666
501,38,60,13.66666666
502,19,50,16
503,9,50,19
504,27,50,11.33333333
505,9,50,17.66666666
506,11,50,20
507,42,52.5,18.33333333
508,5,50,20
509,12,40,20
510,2,30,7.333333333
511,31,50,21.66666666
512,2,50,9.5
513,50,60,20.622
514,3,30,8.5
515,8,60,11
516,25,46.66666666,11.33333333
517,6,30,6.666666666
518,4,60,11
519,4,60,13
520,25,50,13
521,39,60,16
522,12,50,11.33333333
523,26,45,10
524,14,30,8
525,66,60,22.5
526,7,60,10.66666666
527,18,60,22.5
528,27,50,10.66666666
529,30,50,17.5
530,18,50,11.33333333
531,26,50,14
532,24,50,12
533,110,54,13.66666666
534,19,60,12.33333333
535,66,60,25
536,46,52.5,13.25
537,50,50,15
538,69,60,13.66666666
539,94,50,15.33333333
540,25,50,10.33333333
541,58,60,13
542,112,60,25
543,45,60,22.5
544,38,60,18
545,41,52.5,11.5
546,48,50,16.5
547,64,60,25
548,28,60,20.5
549,186,60,30
550,71,60,16.33333333
551,9,60,11.5
552,24,30,9
553,5,40,12
554,107,60,25
555,37,60,13.33333333
556,53,50,17.66666666
557,25,60,9.5
558,9,30,14.66666666
559,97,50,15.33333333
560,7,30,8
561,69,50,9.666666666
562,41,60,20
563,185,50,19.33333333
564,32,50,17
565,104,52.5,24
566,33,45,10.33333333
567,34,50,17
568,55,50,16
569,41,30,9.666666666
570,31,40,7
571,21,53.33333333,11.33333333
572,184,60,30
573,8,50,7
574,127,60,15.66666666
575,17,43.33333333,7.5
576,32,60,13.66666666
577,70,50,20
578,40,43.33333333,12
579,4,36.66666666,15
580,4,50,7
581,8,36.66666666,11.5
582,194,47.5,27.5
583,105,60,18
584,37,50,25
585,47,60,13.66666666
586,135,60,31.4
587,45,37.5,16
588,20,30,13.5
589,0,30,6.666666666
590,2,30,9
591,9,30,10
592,60,45,25
593,64,45,17.5
594,97,60,25
595,3,30,8
596,17,43.33333333,10.66666666
597,33,50,25
598,12,43.33333333,20
599,30,43.33333333,14
600,14,60,11.5
601,41,50,25
602,3,30,8
603,16,43.33333333,10
604,1,30,7
605,5,52.5,7
606,68,60,25
607,5,36.66666666,14
608,20,30,13
609,35,37.5,12
610,34,30,6.5
611,9,30,8.666666666
612,18,37.5,11
613,1,30,7
614,6,30,5
615,13,40,9
616,82,52.5,22.5
617,12,50,11
618,59,60,17.5
619,42,45,15
620,50,60,20
621,4,52.85714285,18
622,8,56.66666666,24
623,18,70,29
624,12,30,6
625,5,32,33
626,38,56.66666666,9
627,10,56.66666666,18
628,10,32,33
629,0,30,6
630,77,67.5,23.5
631,21,60,16
632,44,54.28571428,19
633,9,33.33333333,33
634,4,38,33
635,3,40,33
636,52,57.5,32.75
637,18,30,22
